titulo,categoria,telefono,direccion,ciudad,rating,cantidad_reviews,url,dominio,place_id,emails,tiene_web_propia,es_cadena,fecha_extraccion
a 'Manger Picadas - Delivery a domicilio,Meal delivery,+54115642-4314,"Charcas 4001, C1425BNE Cdad. Autónoma de Buenos Aires",Buenos Aires,4.7,1822,https://a-manger.com/,a-manger.com,ChIJWyOjVIC1vJURlW-JpyEig4k,info@a-manger.com,True,False,2025-10-20T20:02:40.623085
Surry Hills — Australian Brunch & Specialty Coffee,Coffee shop,,"Arévalo 2877, C1426 Cdad. Autónoma de Buenos Aires",Buenos Aires,4.7,861,http://www.surryhillscoffee.com/,www.surryhillscoffee.com,ChIJpa7VK7G1vJURB2vsGd0I19Q,"business.eu@surryhillscoffee.com, business.us@surryhillscoffee.com, hola@surryhillscoffee.com, hr@surryhillscoffee.com, team@surryhillscoffee.com",True,False,2025-10-20T20:03:27.696092
Ainara Helados Veganos,Ice cream shop,+54115734-4751,"Charcas 4987, C1425 Cdad. Autónoma de Buenos Aires",Buenos Aires,4.7,745,http://www.ainara.com.ar/,www.ainara.com.ar,ChIJUR18_iK1vJURxK90JJihgNY,info@ainara.com.ar,True,False,2025-10-20T20:03:43.269646
MUSGO — Fine Dining · Restaurante de Alta Cocina en Palermo,Restaurante,+549116407-3841,"Nicaragua 4758, C1004 Cdad. Autónoma de Buenos Aires",Cdad. Autónoma de Buenos Aires,4.7,505,https://musgoba.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb,musgoba.com,ChIJBxEgp7a1vJURgyGrFBmbLm4,info@musgoba.com,True,False,2025-10-20T20:04:34.265785
The Wine Island,Liquor store,+54116539-3759,"C1008AAN, Suipacha 608, C1008AAN Cdad. Autónoma de Buenos Aires",Buenos Aires,4.7,440,http://www.laislavinos.com/,www.laislavinos.com,ChIJAQAQJcnKvJURJGCWEuKP7xI,ventas@laislavinos.com.ar,True,False,2025-10-20T20:04:48.629613
Vinoteca Enogarage Martinez,Wine store,+54113927-0562,"Emilio Lamarca 329, B1640 DFE, Provincia de Buenos Aires",DFE,4.7,278,http://www.enogarage.com/,www.enogarage.com,ChIJ_cj_3M3KvJURfTNR0XaNrkY,consultas@enogarage.com,True,False,2025-10-20T20:05:17.196190
Licorería Paradiso,Wine store,+54115198-0002,"México 802, C1070 Cdad. Autónoma de Buenos Aires",Buenos Aires,4.7,264,http://www.licoreriaparadiso.com/,www.licoreriaparadiso.com,ChIJtaPSedbKvJURd8TryW4sj00,info@licoreriaparadiso.com,True,False,2025-10-20T20:05:25.567327
Miravida Soho Hotel & Wine Bar,Hotel,+54114774-6433,"Darregueyra 2050, C1425FLA Cdad. Autónoma de Buenos Aires",Buenos Aires,4.7,254,http://www.miravidasoho.com/,www.miravidasoho.com,ChIJRX3zk4W1vJURIg6PKwbFeEQ,info@miravidasoho.com,True,False,2025-10-20T20:05:32.026202
Vinoteca 1500,Wine store,+54114793-9767,"Hipólito Yrigoyen 1500, B1640 Martínez, Provincia de Buenos Aires",Martínez,4.7,186,http://www.1500.com.ar/,www.1500.com.ar,ChIJkxcEb_iwvJURcVHZYoVRUSc,info@1500.com.ar,True,False,2025-10-20T20:05:47.221625
Paseo La Plaza,Performing arts theater,+54116320-5300,"Av. Corrientes 1660 C1042AAP, C1042 AAP, Cdad. Autónoma de Buenos Aires",AAP,4.6,60038,http://www.paseolaplaza.com.ar/,www.paseolaplaza.com.ar,ChIJKVQlQ8HKvJURiWyjkObIBJk,"contacto@paseolaplaza.com, contacto@paseolaplaza.com.ar",True,False,2025-10-20T20:06:02.163150
Cuervo Café,Cafe,,"El Salvador 4580, C1414 Cdad. Autónoma de Buenos Aires",Buenos Aires,4.6,3477,http://www.cuervocafe.com/,www.cuervocafe.com,ChIJF19rgHjKvJURjAVINc8ud9k,"laburo@cuervocafe.com, tienda@cuervo.cafe",True,False,2025-10-20T20:07:11.776398
Backroom Bar,Coctelería,,"Jorge Luis Borges 1975, C1414 Cdad. Autónoma de Buenos Aires, Argentina",Cdad. Autónoma de Buenos Aires,4.6,3272,http://www.backroom-bar.com/,www.backroom-bar.com,ChIJ5xXRypi1vJURbyPHDWVCJL8,rrhh@backroom-bar.com,True,False,2025-10-20T20:07:19.930211
Crystal Bar - Alvear Icon Hotel - Puerto Madero,Bar,+54114114-0948,"Aimé Painé 1130 piso 32, C1107 Cdad. Autónoma de Buenos Aires",Buenos Aires,4.6,3101,https://alvearicon.com/gastronomia/crystal-bar-puerto-madero/,alvearicon.com,ChIJIUMqmtc0o5URXU-T5nEkCc8,"reservationsicon@alvear.com.ar, restaurantes.aih@alvear.com.ar",True,False,2025-10-20T20:07:30.203065
ROUX,Restaurante,+54114805-6794,"Peña 2300, C1126ABF Cdad. Autónoma de Buenos Aires",Cdad. Autónoma de Buenos Aires,4.6,3079,http://www.rouxresto.com/,www.rouxresto.com,ChIJKYYltZnKvJUR1B3un_qNkho,mrebaudino@rouxresto.com,True,False,2025-10-20T20:07:32.298934
Eterna Cadencia,Book store,+54114774-4100,"Honduras 5582, C1414BTM Cdad. Autónoma de Buenos Aires",Buenos Aires,4.6,2935,http://www.eternacadencia.com.ar/,www.eternacadencia.com.ar,ChIJu2UJlY21vJURRWigIgTlN4M,info@eternacadencia.com.ar,True,False,2025-10-20T20:07:36.385241
Nicky Harrison,Sushi restaurant,+54114831-0519,"Malabia 1764, C1414 Cdad. Autónoma de Buenos Aires",Buenos Aires,4.6,2806,http://www.nicky-harrison.com/,www.nicky-harrison.com,ChIJtQTAe4e1vJURxnAUY58JmiM,eventos@nicky-harrison.com,True,False,2025-10-20T20:07:46.961664
El Candado,Restaurant,+54114792-1642,"Luis Sáenz Peña 1723, B1640 Martínez, Provincia de Buenos Aires",Martínez,4.6,2194,http://www.elcandado.com.ar/,www.elcandado.com.ar,ChIJMzA6E6uxvJURzrP4X-LETIo,"info@elcandado.com.ar, info@mysite.com",True,False,2025-10-20T20:08:02.740093
ROSÉ Restaurant Bar,Restaurant,+5421187051,"Guayaquil 556, C1424 Cdad. Autónoma de Buenos Aires",Buenos Aires,4.6,2099,http://www.rose.com.ar/,www.rose.com.ar,ChIJPyPCmk_LvJUR16YaeKpgyww,"info@rose.com.ar, roserestaurantbarinfo@rose.com.ar",True,False,2025-10-20T20:08:06.116081
Le Blé Gaona,Coffee shop,+549113942-1753,"Comuna 11, Av. Gaona 3901, C1407FIB Cdad. Autónoma de Buenos Aires",Buenos Aires,4.6,1325,https://www.leble.com.ar/,www.leble.com.ar,ChIJ-wp2TCTJvJURi27Rm2EfOAQ,"pasion@leble.com.ar, rrhh@leble.com.ar",True,False,2025-10-20T20:08:54.265938
Presidente Bar | San Isidro,Cocktail bar,,"Av. Marquez y Av. Fleming, Acceso A Hipodromo de San Isidro, 1643 Buenos Aires",Buenos Aires,4.6,1014,https://www.presidentebar.com.ar/,www.presidentebar.com.ar,ChIJX0YqIF-xvJUR4UNmxRkLq8Y,eventos@presidentebar.com.ar,True,False,2025-10-20T20:09:10.187164
Martinelli Caffe Pasticceria e Gelato,Espresso bar,+54117107-1907,"Av. Dr. Honorio Pueyrredón 874, C1405 Cdad. Autónoma de Buenos Aires",Buenos Aires,4.6,601,https://martinellicaffe.com.ar/,martinellicaffe.com.ar,ChIJM8cBoLHLvJUR8-KdUZfam5A,contacto@martinellicafe.com.ar,True,False,2025-10-20T20:09:46.572988
"Doble Sentido, Bar Cultural",Bar,+54112397-5736,"Loyola 788, C1414 Cdad. Autónoma de Buenos Aires",Buenos Aires,4.6,359,https://doblesentidobarcultural.com.ar/,doblesentidobarcultural.com.ar,ChIJtcEogEHLvJUReVVsOf-vEo0,doblesentidobarcultural@gmail.com,True,False,2025-10-20T20:10:59.132586
Café Tortoni,Cafetería,+54114342-4328,"Av. de Mayo 825, C1084 Cdad. Autónoma de Buenos Aires",Cdad. Autónoma de Buenos Aires,4.5,37779,http://www.cafetortoni.com.ar/,www.cafetortoni.com.ar,ChIJ01wendHKvJURLcQXvCCCC1I,"tortoni@cafetortoni.com.ar, tortoni@cafetortoni.com.arwhatsapp",True,False,2025-10-20T20:11:54.690453
Izakaya by Sushi Pop Palermo,Sushi restaurant,+54115272-5900,"Soler 5598, C1425 Cdad. Autónoma de Buenos Aires",Buenos Aires,4.5,12042,https://www.sushipop.com.ar/,www.sushipop.com.ar,ChIJ7dqQuJG1vJURiZxJOIRL7Xk,info@sushi-pop.com.ar,True,False,2025-10-20T20:12:04.305605
Croque Madame,Restaurante,+54114806-8639,"Av. del Libertador 1902, C1425AAS Cdad. Autónoma de Buenos Aires",Cdad. Autónoma de Buenos Aires,4.5,10672,http://www.croquemadame.com.ar/,www.croquemadame.com.ar,ChIJP6BkFWK1vJURH57rMLPgrtM,pcampos@croquemadame.com.ar,True,False,2025-10-20T20:12:18.831513
Confitería La Ideal,Cafetería,+549116801-1519,"Suipacha 384, C1008AAF Cdad. Autónoma de Buenos Aires",Cdad. Autónoma de Buenos Aires,4.5,10443,https://laideal.ar/,laideal.ar,ChIJmXG0TsnKvJURhB6qlLk7oDo,eventos@laideal.ar,True,False,2025-10-20T20:12:22.683716
Croque Madame Palacio Paz,Restaurante,+54115934-4555,"Av. Sta. Fe 750, C1006 Cdad. Autónoma de Buenos Aires",Cdad. Autónoma de Buenos Aires,4.5,8111,https://croquemadamepalaciopaz.com.ar/,croquemadamepalaciopaz.com.ar,ChIJbUZwLZHLvJURunH843sezzQ,"eventos@croquemadamepalaciopaz.com.ar, eventos@croquemadamepalaciopaz.com.aremail, info@croquemadamepalaciopaz.com.ar",True,False,2025-10-20T20:12:32.775047
Estilo Campo Restaurante,Argentinian restaurant,+54114312-4546,"Av. Alicia Moreau de Justo 1840, C1107AFL Cdad. Autónoma de Buenos Aires",Buenos Aires,4.5,7293,http://www.estilo-campo.com.ar/,www.estilo-campo.com.ar,ChIJeY1Ge9E0o5URzW_TmKNYYag,info@estilo-campo.com.ar,True,False,2025-10-20T20:12:50.946147
Gardiner Restaurant,Restaurant,+54114788-0437,"Av. Costanera Rafael Obligado 6311, C1428 Cdad. Autónoma de Buenos Aires",Buenos Aires,4.5,5357,http://www.gardiner.com.ar/,www.gardiner.com.ar,ChIJT26dDU20vJURz4gO-OG2x8A,gr@gardiner.com.ar,True,False,2025-10-20T20:13:09.881607
Prosciutto Ristorante Lanús,Italian restaurant,+5421446566,"Gdor. Carlos Tejedor 125, B1824 B1824MWE, Provincia de Buenos Aires",B1824MWE,4.5,5323,http://prosciutto.com.ar/,prosciutto.com.ar,ChIJW79zBenNvJURwruXUNI66Lw,"balvanera@prosciutto.com.ar, caballito@prosciutto.com.ar, lanus@prosciutto.com.ar",True,False,2025-10-20T20:13:17.812291
Saigón Noodle Bar,Restaurante vietnamita,+54115383-8984,"Bolívar 986, C1066AAT Cdad. Autónoma de Buenos Aires, Argentina",Cdad. Autónoma de Buenos Aires,4.5,5141,https://www.saigonargentina.com/,www.saigonargentina.com,ChIJr785XCvLvJURxRLFFw5ThRM,contactoinfo@saigonargentina.com,True,False,2025-10-20T20:13:20.968626
IL Vero Arturito Abasto,Restaurant,+54114961-4280,"San Luis 2999, C1186 Cdad. Autónoma de Buenos Aires",Buenos Aires,4.5,3223,http://www.ilveroarturito.com.ar/,www.ilveroarturito.com.ar,ChIJS6Z5C47KvJUREXuZt-ONL58,"abasto@ilveroarturito.com.ar, palermo@ilveroarturito.com.ar",True,False,2025-10-20T20:14:25.406751
Otaku Sushi Vicente Lopez,Takeout restaurant,+54115416-4480,"Av. Maipú 598, B1638 Vicente López, Provincia de Buenos Aires",Vicente López,4.5,2216,https://otakusushi.com.ar/,otakusushi.com.ar,ChIJbxRvDue3vJURnJJ18F-hxOE,"franquicias@otakusushi.com.ar, info@otakusushi.com.ar, info@otakusushi.com.arfranquicias",True,False,2025-10-20T20:15:41.240322
CUT Resto,Restaurant,+54116460-0001,"Urquiza 802, B1638BWD Vicente López, Provincia de Buenos Aires",Vicente López,4.5,2193,http://www.cutresto.com/,www.cutresto.com,ChIJ-0WMeU2xvJURcokdbXgfBq0,"info@cutresto.com, rrhh@cutresto.com",True,False,2025-10-20T20:15:47.682713
KOI Dumplings,Restaurant,+54116837-8722,"Av. del Libertador 1401, B1638 Olivos, Provincia de Buenos Aires",Olivos,4.5,2176,https://koidumplings.com/,koidumplings.com,ChIJH-kc5mqxvJUR54Td9dR00Ck,"contacto@koidumplings.com, rrhh@koidumplings.com",True,False,2025-10-20T20:15:50.844147
Hasta La Masa,Restaurant,+549113644-0387,"Loyola 642, C1414 Cdad. Autónoma de Buenos Aires",Buenos Aires,4.5,1973,http://www.hastalamasa.com.ar/,www.hastalamasa.com.ar,ChIJTT2vvHXKvJURsC5WxXfPDI0,pedidos@hastalamasa.com.ar,True,False,2025-10-20T20:16:01.995179
Cervelar Paseo La Plaza,Bar,+54112735-8024,"Av. Corrientes 1660 Local 20 y 27, C1042 Cdad. Autónoma de Buenos Aires",Buenos Aires,4.5,1901,https://www.cervelar.com.ar/home,www.cervelar.com.ar,ChIJIURh4FDLvJURuJXM18Uy9WU,cvstaff@cervelar.com.ar,True,False,2025-10-20T20:16:26.657087
Café Vinilo,Concert hall,+54112533-7358,"Estados Unidos 2483, C1227 Cdad. Autónoma de Buenos Aires",Buenos Aires,4.5,1797,http://www.cafevinilo.com.ar/,www.cafevinilo.com.ar,ChIJXcYffH3KvJUR-CPXWUp5hSc,info@cafevinilo.com.ar,True,False,2025-10-20T20:16:41.534245
Heladería Incontro,Ice cream shop,+54114755-4094,"Av 44 KGC Villa Maipú Buenos Aires AR, Av. Pres. Arturo Illia 2495, B1650",Villa Maipú,4.5,1596,https://www.heladeriaincontro.com/,www.heladeriaincontro.com,ChIJlUuW6w63vJURgBXh4NzGqCQ,heladeriaincontro@hotmail.com,True,False,2025-10-20T20:17:02.160432
The Coffee Store Plaza Almagro,Cafe,+54114917-8080,"Jerónimo Salguero 402, C1198 Cdad. Autónoma de Buenos Aires",Buenos Aires,4.5,1467,https://thecoffeestore.com/,thecoffeestore.com,ChIJN6fF8pvLvJURA4dGfXYBERc,"ventas@thecoffeestore.com, ventas@thecoffeestore.cominstitucional",True,False,2025-10-20T20:17:10.022347
Pizzería La Mirage,Pizza restaurant,+54114544-9444,"Av. Congreso 2699, C1428 BVO, Cdad. Autónoma de Buenos Aires",BVO,4.5,1260,http://www.la-mirage.com.ar/,www.la-mirage.com.ar,ChIJV1BQhoG2vJURy3zPP48koDw,la.mirage.pizzeria@gmail.com,True,False,2025-10-20T20:17:29.811089
Bodega 10,Liquor store,+54112137-9641,"Av. Gaona 4251, B1702APL Ciudadela, Provincia de Buenos Aires",Ciudadela,4.5,1160,http://bodega10.com/,bodega10.com,ChIJLby58gXIvJURypBZGy3pG2c,bodega10vinoteca@gmail.com,True,False,2025-10-20T20:17:43.352505
La Casa de los Chillado Biaus,Live music bar,+549115577-8767,"Rodríguez Peña 1224, C1021 Cdad. Autónoma de Buenos Aires",Buenos Aires,4.5,940,https://isidrochillado.wixsite.com/casaloschilladobiaus,isidrochillado.wixsite.com,ChIJT4DTzr3KvJUR1V2TlPtsk5M,lapenadeloschilladobiaus@gmail.com,True,False,2025-10-20T20:18:12.089678
BABYCOFFEE,Cafe,+54112833-7007,"Monseñor Larumbe 801, B1640GXQ Martínez, Provincia de Buenos Aires",Martínez,4.5,634,http://www.babycoffee.com.ar/,www.babycoffee.com.ar,ChIJ3yqeFPaxvJURlb9_B9DGgOo,hola@babycoffee.com.ar,True,False,2025-10-20T20:18:50.141227
Ninina,Restaurant,+54112538-7595,"El Solar Shopping, Av. Luis María Campos 901, C1426 Cdad. Autónoma de Buenos Aires",Buenos Aires,4.5,601,http://www.ninina.com/,www.ninina.com,ChIJJR6JNgC1vJURV6KLrekPaXM,"info@ninina.com, info@ninina.comt, ja@ninina.com",True,False,2025-10-20T20:18:59.545704
Demons Cafe,Restaurant,+54112395-3631,"Av. del Libertador 13837, B1640 Martínez, Provincia de Buenos Aires",Martínez,4.5,594,http://www.demonsmachines.com/,www.demonsmachines.com,ChIJtYmS-5yxvJURNAP2ht5IP8A,info@demonsmachines.com,True,False,2025-10-20T20:19:01.816971
La Colmena,Bar,+54115869-6729,"Cnel. Niceto Vega 4977 C1414BEG, C1414 Cdad. Autónoma de Buenos Aires",Buenos Aires,4.5,490,https://sites.google.com/view/lacolmenadepalermo/inicio,sites.google.com,ChIJTdL97h-1vJURDRYisbwuwYU,lacolmenadepalermo@gmail.com,True,False,2025-10-20T20:19:36.410775
Geppetto Cantina - Rivera,Pub,,"C. Dr. Pedro I. Rivera 5799, C1431BVY Villa Urquiza, Cdad. Autónoma de Buenos Aires",Villa Urquiza,4.5,355,https://geppettobar.com.ar/geppettobar-rivera/menu,geppettobar.com.ar,ChIJsQmZYwC3vJURMXCe06adNn8,bargeppetto@gmail.com,True,False,2025-10-20T20:20:07.163508
Hangar 1138,Mechanic,+549115885-9948,"Av. Sta. Fe 1138, B1828 Banfield, Provincia de Buenos Aires",Banfield,4.5,318,http://www.hangar1138.com.ar/,www.hangar1138.com.ar,ChIJZR2mcOnLvJURE8RD7D0dU0M,info@hangar1138.com.ar,True,False,2025-10-20T20:20:15.868661
Vinoteca Momentos,Wine store,+54114432-7864,"Av. Pedro Goyena 1540, C1406 Cdad. Autónoma de Buenos Aires",Buenos Aires,4.5,216,http://www.vinotecamomentos.com.ar/,www.vinotecamomentos.com.ar,ChIJVwVUZjDKvJURx0YH_aunzFI,contacto@vinotecamomentos.com.ar,True,False,2025-10-20T20:20:35.205537
Don Julio,Parrilla,+54114831-9564,"Guatemala 4699, C1425 Cdad. Autónoma de Buenos Aires, Argentina",Cdad. Autónoma de Buenos Aires,4.4,17896,https://www.parrilladonjulio.com/,www.parrilladonjulio.com,ChIJoYl36oa1vJURWWhqD9z3UV8,info@parrilladonjulio.com.ar,True,False,2025-10-20T20:21:12.692997
Torino Norte,Pizza restaurant,+54114581-1776,"Av. Juan Bautista Justo 3995, C1416 Cdad. Autónoma de Buenos Aires",Buenos Aires,4.4,15461,http://www.pizzeriatorino.com.ar/,www.pizzeriatorino.com.ar,ChIJ2bcfXwHKvJUR_uIVlALsoII,consulta@pizzeriatorino.com.ar,True,False,2025-10-20T20:21:24.797440
La Poesía,Coffee shop,+5443007340,"Chile 502, C1098 AAL, Cdad. Autónoma de Buenos Aires",AAL,4.4,11249,http://www.losnotables.com.ar/cafe-la-poesia/,www.losnotables.com.ar,ChIJoyuClSrLvJURNjm1ra7PeL4,"bares@losnotables.com.ar, eventos@losnotables.com.ar, rrhh@losnotables.com.ar",True,False,2025-10-20T20:21:53.951047
La Estancia Asador Criollo,Grill,+54114326-0025,"Lavalle 941, C1047 Cdad. Autónoma de Buenos Aires, Argentina",Buenos Aires,4.4,11204,https://laestancia.ar/,laestancia.ar,ChIJrVQ21s7KvJUROm_80TtqlcI,info@laestancia.ar,True,False,2025-10-20T20:21:59.350966
La Mar,Peruvian restaurant,+549113955-9600,"Arévalo 2024, C1414 Cdad. Autónoma de Buenos Aires",Buenos Aires,4.4,9476,https://www.lamarcebicheria.com/buenos-aires/,www.lamarcebicheria.com,ChIJkR20gJS1vJURB_Tw0torRPU,"eventos@lamarcebicheria.com.ar, info@lamarcebicheria.com.ar",True,False,2025-10-20T20:22:09.903946
Container Bar,Bar,+54112722-7043,"B1704BRS, Necochea 955, B1704BRS Ramos Mejía, Provincia de Buenos Aires",Ramos Mejía,4.4,5941,http://www.containerbar.com.ar/,www.containerbar.com.ar,ChIJk6Ft--fHvJURh0T_CvFiPFw,"containerbarok@gmail.com, rrhh@containerbar.com.ar",True,False,2025-10-20T20:23:06.499601
Happening Costanera,Restaurant,+54114787-0666,"Av. Costanera Rafael Obligado 7030, C1428 Cdad. Autónoma de Buenos Aires",Buenos Aires,4.4,5566,http://www.happening.com.ar/,www.happening.com.ar,ChIJE6T9P0-0vJURMBIWo4aqD7w,hc@happening.com.ar,True,False,2025-10-20T20:23:22.958900
Fujisan,Japanese restaurant,+54114784-1313,"Mendoza 1650, C1428 DJP, Cdad. Autónoma de Buenos Aires",DJP,4.4,5272,http://www.fujisan.com.ar/,www.fujisan.com.ar,ChIJ-TSStzK0vJUR3vyiz8sj9m4,reservasfujisan@gmail.com,True,False,2025-10-20T20:23:46.898743
Museo Evita Restaurante,Restaurant,+54113560-5130,"C1425ARF, Juan María Gutiérrez 3926, C1425ARF Cdad. Autónoma de Buenos Aires",Buenos Aires,4.4,4970,https://www.museoevitaresto.com.ar/,www.museoevitaresto.com.ar,ChIJEX6J5Hi1vJUREszgzw_OzhE,consultas@museoevitaresto.com.ar,True,False,2025-10-20T20:23:57.802692
Justo Brandzen,Restaurant,+54112085-5699,"Brandsen 245, B1878 Quilmes, Provincia de Buenos Aires",Quilmes,4.4,4742,http://www.justobrandzen.com.ar/,www.justobrandzen.com.ar,ChIJo692mkMuo5URD65HQCwi8Os,justobrandzen@hotmail.com,True,False,2025-10-20T20:24:14.160008
Cucina D'Onore,Italian restaurant,+54114315-9260,"Av. Alicia Moreau de Justo 1768, C1107 AFJ, Cdad. Autónoma de Buenos Aires",AFJ,4.4,4436,http://www.cucinadonore.com/,www.cucinadonore.com,ChIJQV-DXtE0o5URnr8IMr3aeo4,info@cucinadonore.com,True,False,2025-10-20T20:24:20.207659
725 Continental Hotel,Hotel,+54114131-8000,"Av. Pres. Roque Sáenz Peña 725, C1035 Cdad. Autónoma de Buenos Aires",Buenos Aires,4.4,4249,http://www.725continental.com/,www.725continental.com,ChIJIc--Vc7KvJURSTLFdJwevqA,reservas@725continental.com,True,False,2025-10-20T20:24:33.448711
Bar 878,Bar,+54114773-1098,"Thames 878, C1414 Cdad. Autónoma de Buenos Aires",Buenos Aires,4.4,4249,http://www.878bar.com.ar/,www.878bar.com.ar,ChIJy4qUv4q1vJUR8rayMlrFSIg,"eventos@878bar.com.ar, info@878bar.com.ar",True,False,2025-10-20T20:24:35.321284
Gran Bar Danzon,Bar,+54114811-1108,"Libertad 1161, C1012AAW Cdad. Autónoma de Buenos Aires",Buenos Aires,4.4,4201,https://granbardanzon.com.ar/,granbardanzon.com.ar,ChIJh9Qpx7nKvJURLoDB8VNMen8,danzon@granbardanzon.com.ar,True,False,2025-10-20T20:24:55.638269
El Querandi - Cena Tango Show,Restaurant,+549113848-5242,"Perú 322, C1067AAH Cdad. Autónoma de Buenos Aires",Buenos Aires,4.4,3300,https://querandi.com.ar/,querandi.com.ar,ChIJG_AaYdTKvJURoUYUlUOPHvw,reservas@querandi.com.ar,True,False,2025-10-20T20:26:15.899434
Vuelta de Haedo,Restaurante,+54114659-2223,"Av. Rivadavia 16285, B1706AZH Haedo, Provincia de Buenos Aires",Haedo,4.4,3267,http://vueltadehaedo.com.ar/,vueltadehaedo.com.ar,ChIJO7RUi4THvJURO4o30jupvBY,consultas@vueltadehaedo.com.ar,True,False,2025-10-20T20:26:20.555884
Amelia Café Tostadores,Cafeteria,+549116141-2971,"Rojas 702, C1405 Cdad. Autónoma de Buenos Aires",Buenos Aires,4.4,3238,https://ameliacafe.com.ar/,ameliacafe.com.ar,ChIJlWD6soDLvJURaB9QchP5Waw,ameliasaborcafe@gmail.com,True,False,2025-10-20T20:26:23.982247
La Crespo,Restaurant,+54114856-9770,"Vera 1001, C1414 Cdad. Autónoma de Buenos Aires",Buenos Aires,4.4,3125,http://www.lacrespo.com/,www.lacrespo.com,ChIJe6IoZ_W1vJURZcDa_CDnIbc,"belgranolacrespocomidasdecasa@gmail.comvilla, info@mysite.com",True,False,2025-10-20T20:26:32.886550
Taj Mahal Cocina de la India,Indian restaurant,,"Nicaragua 4345, C1414 Cdad. Autónoma de Buenos Aires",Buenos Aires,4.4,2473,http://www.tajmahalresto.com.ar/,www.tajmahalresto.com.ar,ChIJVduMUn_KvJURli0ysemMEUI,tajmahalbuenosaires@hotmail.com,True,False,2025-10-20T20:27:43.989272
Piegari carnes,Restaurant,+54114328-4104,"Posadas 1089, C1011ABA Cdad. Autónoma de Buenos Aires",Buenos Aires,4.4,2163,http://www.piegari.com.ar/,www.piegari.com.ar,ChIJYzmPibDKvJURGZK4oPk8r5Y,administracion@piegari.com.ar,True,False,2025-10-20T20:28:40.281839
